"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Kunming,  China","Kunming"," China","Kunming, Yunnan, China","24.8843019","102.8324209","0.0","0.0","0","23"
"Hanoi,  Vietnam","Hanoi"," Vietnam","Hanoi, Vietnam","21.0294498","105.8544441","31.61","1057.193","0","1"
"Mandalay,  Myanmar","Mandalay"," Myanmar","Mandalay, Chanayethazan Township, Mandalay District, Mandalay, 0502-1001, Myanmar","21.9812746","96.082375","45.472","1520.819","0","1"
"Guiyang,  China","Guiyang"," China","Guiyang, Longtan Subdistrict, Guiyang County, Chenzhou, Hunan, China","25.7561647","112.72964","59.756","1998.536","0","1"
"Chiang Mai,  Thailand","Chiang Mai"," Thailand","Chiang Mai, Saraphi District, Chiang Mai Province, 4452, Thailand","18.7882778","98.9868056","140.895","4712.215","0","3"
"Xiangtan,  China","Xiangtan"," China","Xiangtan, Yuetang District, Xiangtan, Hunan, 411104, China","27.8326265","112.938722","450.892","2117.066","1","0"
"Sylhet Division,  Bangladesh","Sylhet Division"," Bangladesh","Sylhet Division, Bangladesh","24.59107805","91.71773617004385","465.823","2245.292","1","0"
"Kathmandu,  Nepal","Kathmandu"," Nepal","Kathmandu, Kamaladi Marg, Kamalpokhari, Baghbazar, Kathmandu, Bagmati Pradesh, 46600, Nepal","27.708317","85.3205817","659.541","3544.229","1","0"
"Suzhou City,  China","Suzhou City"," China","Suzhou City, Jiangsu, China","31.3016935","120.5810725","696.966","3757.201","1","0"
"Penang,  Malaysia","Penang"," Malaysia","Penang, Malaysia","5.4065013","100.2559077","804.023","4366.426","1","0"
"Patan,  Nepal","Patan"," Nepal","Patan, Baitadi, Nepal","29.450618300000002","80.5824751597718","829.279","4510.149","1","0"
"Kuala Lumpur,  Malaysia","Kuala Lumpur"," Malaysia","Kuala Lumpur, Malaysia","3.1516964","101.6942371","887.667","4839.264","1","0"
"Guangzhou City,  China","Guangzhou City"," China","Guangzhou City, Guangdong Province, China","23.1301964","113.2592945","910.212","4306.509","2","0"
"Ulaanbaatar,  Mongolia","Ulaanbaatar"," Mongolia","Ulaanbaatar, Sukhbaatar Duureg, Ulaanbaatar, Mongolia","47.9184676","106.9177016","946.966","5172.646","1","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","981.021","5364.105","1","0"
"Bengaluru,  India","Bengaluru"," India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","12.9791198","77.5912997","1079.443","5917.443","1","0"
"Mumbai,  India","Mumbai"," India","Mumbai, Mumbai Suburban, Maharashtra, India","19.0759899","72.8773928","1147.014","6297.332","1","0"
"Yakkasaray district,  Uzbekistan","Yakkasaray district"," Uzbekistan","Yakkasaray district, Tashkent, 100000, Uzbekistan","41.28104555","69.26059440045029","1229.513","7174.765","1","0"
"Karachi,  Pakistan","Karachi"," Pakistan","Karachi, Sindh, Pakistan","24.8546842","67.0207055","1231.736","7204.171","1","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","1249.284","7436.312","1","0"
"Nanjing City,  China","Nanjing City"," China","Nanjing City, Jiangsu, China","32.0615601","118.7915171","1303.175","6997.935","2","0"
"Taoyuan City,  Taiwan","Taoyuan City"," Taiwan","Taoyuan City, Taiwan","24.9929995","121.3010003","1381.37","7442.917","2","0"
"Mandaluyong,  Philippines","Mandaluyong"," Philippines","Mandaluyong, Eastern Manila District, Metro Manila, Philippines","14.5776485","121.0337001","1633.459","8877.467","2","0"
"Tehran,  Iran","Tehran"," Iran","Tehran, بخش مرکزی شهرستان تهران, Tehran County, Tehran Province, Iran","35.6892523","51.3896004","1655.393","10050.505","1","0"
"Weihai,  China","Weihai"," China","Weihai, Shandong, 264200, China","37.5120997","122.1152599","1691.478","9207.082","2","0"
"Beijing,  China","Beijing"," China","Beijing, Dongcheng District, Beijing, 100010, China","39.906217","116.3912757","2318.798","12568.507","3","0"
"Bandung,  Indonesia","Bandung"," Indonesia","Bandung, West Java, 40252, Indonesia","-6.9344694","107.6049539","2455.476","14302.566","2","0"
"Oslo,  Norway","Oslo"," Norway","Oslo, Norway","59.9133301","10.7389701","2533.525","15493.18","1","0"
"Leiden,  Netherlands","Leiden"," Netherlands","Leiden, Zoeterwoude, South Holland, Netherlands","52.1518157","4.4811088666204295","2740.606","16776.672","1","0"
"America!,  United States","America!"," United States","America!, Service road S, Westchester, Los Angeles, California, 90045-5802, United States","33.9449495","-118.4105793","3956.435","24312.403","1","0"
"Bank of America Plaza,  United States","Bank of America Plaza"," United States","Bank of America Plaza, 33, North Stone Avenue, Pie Allen, Tucson, Pima County, Arizona, 85701, United States","32.22230125","-110.97171352924232","4139.12","25444.689","1","0"
"San Andrés Cholula,  Mexico","San Andrés Cholula"," Mexico","San Andrés Cholula, Puebla, Mexico","19.022046449999998","-98.28726612234529","4752.837","29248.519","1","0"
