"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Abuja,  Nigeria","Abuja"," Nigeria","Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria","9.0643305","7.4892974","0.0","0.0","0","11"
"Port-Harcourt,  Nigeria","Port-Harcourt"," Nigeria","Port-Harcourt, Rivers, 500211, Nigeria","4.7676576","7.0188527","28.739","961.163","0","1"
"Omu Aran,  Nigeria","Omu Aran"," Nigeria","Omu Aran, Irepodun, Kwara, 251101, Nigeria","8.1385895","5.101326","50.591","1691.998","0","3"
"Dutse,  Nigeria","Dutse"," Nigeria","Dutse, Jigawa, 720231, Nigeria","11.6909859","9.3390747","106.232","3552.908","0","5"
"Nsukka,  Nigeria","Nsukka"," Nigeria","Nsukka, Enugu, 410001, Nigeria","6.8561","7.3927","264.552","8847.888","0","18"
"Yaoundé Nsimalen International Airport,  Cameroon","Yaoundé Nsimalen International Airport"," Cameroon","Yaoundé Nsimalen International Airport, D44, Mfou, Méfou-et-Afamba, Centre, 185, Cameroon","3.7250788","11.552168664779966","346.665","1488.477","1","0"
"Kinshasa,  Democratic Republic of the Congo","Kinshasa"," Democratic Republic of the Congo","Kinshasa, Democratic Republic of the Congo","-4.3217055","15.3125974","642.155","3445.292","1","0"
"Ouagadougou,  Burkina Faso","Ouagadougou"," Burkina Faso","Ouagadougou, Kadiogo, Centre, 317, Burkina Faso","12.3681873","-1.5270944","898.366","4204.768","2","0"
"Dakar,  Senegal","Dakar"," Senegal","Dakar, 2084, Senegal","14.693425","-17.447938","1016.811","5565.323","1","0"
"Kigali,  Rwanda","Kigali"," Rwanda","Kigali, Nyarugenge District, Kigali City, 2079, Rwanda","-1.950851","30.061507","1017.612","5569.823","1","0"
"Addis Ababa,  Ethiopia","Addis Ababa"," Ethiopia","Addis Ababa, 1138, Ethiopia","9.0107934","38.7612525","1228.635","6866.082","1","0"
"Nairobi,  Kenya","Nairobi"," Kenya","Nairobi, Kenya","-1.3031689499999999","36.826061224105075","1231.079","6896.674","1","0"
"Accra,  Ghana","Accra"," Ghana","Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana","5.5571096","-0.2012376","1256.788","5600.527","3","0"
"Lyon,  France","Lyon"," France","Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France","45.7578137","4.8320114","1352.966","8176.055","1","0"
"Potchefstroom,  South Africa","Potchefstroom"," South Africa","Potchefstroom, Tlokwe Local Municipality, Potchefstroom, North West, 2520, South Africa","-26.7150922","27.1013887","1487.967","9012.796","1","0"
"Johannesburg,  South Africa","Johannesburg"," South Africa","Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa","-26.205","28.049722","1488.254","9014.574","1","0"
"Le Havre,  France","Le Havre"," France","Le Havre, Seine-Maritime, Normandy, Metropolitan France, France","49.4938975","0.1079732","1501.243","9095.078","1","0"
"Oxford,  United Kingdom","Oxford"," United Kingdom","Oxford, Oxfordshire, South East England, England, United Kingdom","51.7520131","-1.2578499","1586.935","9626.201","1","0"
"Amsterdam,  Netherlands","Amsterdam"," Netherlands","Amsterdam, North Holland, Netherlands","52.3727598","4.8936041","1589.622","9642.854","1","0"
"Cape Town,  South Africa","Cape Town"," South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa","-33.928992","18.417396","1620.75","9835.784","1","0"
"Durban,  South Africa","Durban"," South Africa","Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa","-29.861825","31.009909","1649.345","10013.015","1","0"
"Lagos,  Nigeria","Lagos"," Nigeria","Lagos, Lagos Island, Lagos, 100242, Nigeria","6.4550575","3.3941795","2672.706","10727.749","10","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","2958.294","18125.904","1","0"
"Urbana,  United States","Urbana"," United States","Urbana, Champaign County, Illinois, United States","40.1117174","-88.207301","3208.542","19676.947","1","0"
"Manhattan,  United States","Manhattan"," United States","Manhattan, Riley County, Kansas, United States","39.1836082","-96.5716694","3441.011","21117.798","1","0"
