location,city,country,address,latitude,longitude,co2_kg,distance_km,plane trips_amount,train trips_amount
"Thiruvananthapuram, Kerala, India",Thiruvananthapuram,India,"Thiruvananthapuram, Kerala, India",8.52300041031136,76.9348794817856,0,0,0,0
"Kollam,  India",Kollam, India,"Kollam, Kerala, 691001, India",8.8879509,76.5955013,3.634,121.529,0,1
"Athirampuzha,  India",Athirampuzha, India,"Athirampuzha, Ettumanoor, Kottayam, Kerala, 686631, India",9.6678442,76.5328609,8.009,267.87,0,1
"Ram Prakash Vihar,  India",Ram Prakash Vihar, India,"Ram Prakash Vihar,Vaduthala ,ernakulam, Vaduthala, Kanayannur, Ernakulam district, Kerala, 682012, India",10.0118206,76.2769256718824,10.806,361.41,0,1
"Madurai,  India",Madurai, India,"Madurai, Madurai South, Madurai District, Tamil Nadu, India",9.9261153,78.1140983,11.368,380.21,0,1
"Thrissur,  India",Thrissur, India,"Thrissur, Thrissur district, Kerala, 680001, India",10.5256264,76.2132542,14.072,470.62,0,1
"Palakkad,  India",Palakkad, India,"Palakkad, Palakkad district, Kerala, 678001, India",10.7691989,76.6512469,14.81,495.309,0,1
"Karaikudi,  India",Karaikudi, India,"Karaikudi, Karaikkudi, Sivagangai District, Tamil Nadu, 623001, India",10.0680908,78.7657007,15.001,501.697,0,1
"Tiruchirappalli,  India",Tiruchirappalli, India,"Tiruchirappalli, Trichy Corporation Limits, Tiruchirappalli, Tiruchirappalli District, Tamil Nadu, 620001, India",10.804973,78.6870296,18.292,611.762,0,1
"Kozhikode,  India",Kozhikode, India,"Kozhikode, Kannur-Kozhikode Road, Nadakkavu, Erenjippalam, Kozhikode, Kozhikode district, Kerala, 673011, India",11.2586082,75.7788735,19.68,658.177,0,1
"Tiruvarur Medical Centre,  India",Tiruvarur Medical Centre, India,"Tiruvarur Medical Centre, South Street, Thiruvarur, Thiruvarur District, Tamil Nadu, 610001, India",10.7745978,79.6279725,22.339,747.12,0,1
"Periye Bazar,  India",Periye Bazar, India,"Periye Bazar, Hosdurg, Kasaragod district, Kerala, 61316, India",12.4102374,75.0932918,28.519,953.807,0,1
"Bengaluru,  India",Bengaluru, India,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",12.9791198,77.5912997,29.485,986.104,0,1
"Mangaluru,  India",Mangaluru, India,"Mangaluru, Mangaluru taluk, Dakshina Kannada, Karnataka, 575001, India",12.8698101,74.8430082,31.979,1069.526,0,1
"Katpadi,  India",Katpadi, India,"Katpadi, Vellore District, Tamil Nadu, India",13.0431189,79.2419044055174,32.966,1102.543,0,1
"Manipal,  India",Manipal, India,"Manipal, Udupi taluku, Udupi district, Karnataka, 576104, India",13.3519723,74.7870308,35.018,1171.17,0,1
